DateHeader,Hub,SettlementPrice
2026-07-29,Transco-Z5 South,3.69
2026-07-30,Transco-Z5 South,3.6087
2026-07-31,Transco-Z5 South,3.512
2026-07-28,Transco-Z6  (non-NY),2.08
2026-07-29,Transco-Z6  (non-NY),2.0
2026-07-30,Transco-Z6  (non-NY),1.902
2026-07-31,Transco-Z6  (non-NY),2.001
2026-07-28,Transco-Z6 (NY),2.14
2026-07-29,Transco-Z6 (NY),2.085
2026-07-30,Transco-Z6 (NY),1.9427
2026-07-31,Transco-Z6 (NY),2.2535
2026-07-28,Trunkline-Z1A,2.5
2026-07-29,Trunkline-Z1A,2.42
2026-07-30,Trunkline-Z1A,2.3965
2026-07-31,Trunkline-Z1A,2.38
2026-07-28,Waha,1.99
2026-07-29,Waha,1.7
2026-07-30,Waha,1.5785
2026-07-31,Waha,1.933
